id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5583625,A Stylish Cozy Studio with Balcony,28680909,Pak,Yau Tsim Mong,22.30500007,114.1701601,Entire home/apt,713,2,191,9/11/2018,4.32,1,26
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,Central & Western,22.28355881,114.1483542,Entire home/apt,877,1,168,9/11/2018,2.15,1,216
16907687,5min subway Cozy house open kitchen,112871475,Ben,Wan Chai,22.27834361,114.1772876,Entire home/apt,752,1,132,9/11/2018,6.01,1,126
4078286,Brand New Designer Apartment ,18228281,Lincoln,Central & Western,22.27945191,114.150758,Entire home/apt,1723,3,114,9/11/2018,2.26,1,320
17352084,Big room near to Taipo Station大埔大房,117243241,Mark,Tai Po,22.44386054,114.1697066,Private room,329,1,80,9/11/2018,4.01,1,317
18730256,"鄰近麗豪酒店,雅思首選!",129187451,Yk,Sha Tin,22.38100037,114.203801,Private room,400,1,57,9/11/2018,3.23,1,43
21441057,"700sqmSpacious cozy artist home, 5min fr. central!",49125021,Selina,Central & Western,22.2858277,114.1510439,Entire home/apt,1097,2,54,9/11/2018,4.27,1,180
23311376,★★ Economy Budget Studio ★★ Perfect to Save money,118960757,Lilly,Yau Tsim Mong,22.30664833,114.1714064,Entire home/apt,423,1,52,9/11/2018,6.19,1,131
17714749,"Cozy, Ideally Located, Wanchai Oasis",10097807,Tina,Wan Chai,22.27757017,114.1786472,Entire home/apt,783,1,48,9/11/2018,2.44,1,267
17658909,Bright Studio Penthouse w/Private Garden Terrace,13112949,Leo,Central & Western,22.28392089,114.1518312,Entire home/apt,1003,3,32,9/11/2018,1.6,1,8
3968664,Private Room in Monster Building Downtown near MTR,15662261,Ziv,Eastern,22.28561277,114.2133724,Private room,266,3,26,9/11/2018,0.51,1,160
2279849,Premium location Soho/Central,11643447,Tânia,Central & Western,22.28081557,114.1540757,Entire home/apt,862,5,24,9/11/2018,0.42,1,2
23600674,Amazing ap 5 mins from Soho and Sheung Wan,166469218,Cesare,Central & Western,22.28480295,114.1491963,Entire home/apt,517,2,24,9/11/2018,3.12,1,5
17674919,Soho studio,55927901,Adriano,Central & Western,22.28199549,114.1525198,Entire home/apt,603,2,23,9/11/2018,1.51,1,49
20039472,K-Town MTR Brand New 1Bdr Apt,46902080,Mel,Central & Western,22.28263949,114.1321363,Entire home/apt,948,3,22,9/11/2018,1.43,1,95
12379758,Perfect place for a longer visit,30085887,C,Wan Chai,22.27492453,114.1933402,Entire home/apt,1018,3,21,9/11/2018,0.84,1,131
21915528,Modern Apt in Sheung Wan/Soho,87700942,Micaela,Central & Western,22.28426278,114.1483361,Entire home/apt,721,1,19,9/11/2018,1.61,1,59
23575095,"HKU, B&B
For group 4-12people",50167855,YinMing,Central & Western,22.28441542,114.134934,Private room,3674,2,17,9/11/2018,2.13,1,52
23929223,Best location in Hong Kong University,17988040,Laurent,Central & Western,22.2878394,114.1337442,Entire home/apt,1191,2,17,9/11/2018,2.76,1,43
27883987,尖沙咀海港城零距离/近地铁站/近九龙高铁站/黄金地段/九龙公园旁/干净安静舒适两房整租,93369473,Dobby’s Home,Yau Tsim Mong,22.29951651,114.1692266,Entire home/apt,1363,2,14,9/11/2018,5.06,1,47
25441063,湾仔海景高层公寓Wanchai sea view apartment安全简单safe simple,192040985,Wingmin,Wan Chai,22.27716693,114.1803912,Entire home/apt,306,2,13,9/11/2018,2.62,1,27
28431274,沙田希尔顿中心 方便购物 周末我一般出门玩不接 大家可以不要订哦,185095548,马,Sha Tin,22.3782646,114.1907051,Private room,564,1,11,9/11/2018,5.59,1,41
3298455,Central Park vibe in ultra-trendy Causeway Bay,10219185,Donna,Wan Chai,22.28158303,114.1851874,Private room,1003,2,9,9/11/2018,0.18,1,339
19003100,Bright & cosy studio Wanchai MTR WIFI,17937846,Pierre-Arnaud,Wan Chai,22.27679026,114.1709553,Entire home/apt,400,2,8,9/11/2018,0.53,1,0
29273146,"COZY & CONVENIENT 2BR HOME, 2MINS FROM WANCHAI MTR",220229735,Arrachelle,Wan Chai,22.27914467,114.1745386,Entire home/apt,1003,2,3,9/11/2018,3,1,125
28567023,Nice bedroom in spacious flat in Happy Valley,1267685,Lysa,Wan Chai,22.26869754,114.1845449,Private room,548,2,3,9/11/2018,2.37,1,8
23343488,Alpha Room,173890605,Eireen,Sha Tin,22.38954603,114.2015976,Private room,298,1,3,9/11/2018,0.37,1,55
29836770,New Cosy Studio Flat (5 min walk from HKU MTR),6104021,Serena,Central & Western,22.28505004,114.1361496,Entire home/apt,603,20,1,9/11/2018,1,1,76
23721520,Great loft-style apartment in Causeway Bay,2831884,Jarijn,Wan Chai,22.27922229,114.1842776,Entire home/apt,1003,4,1,9/11/2018,1,1,0
25985919,长风浪漫温馨MC大床房,195075930,Hong,Kwai Tsing,22.36435322,114.1236576,Private room,674,1,1,9/11/2018,1,1,283
1819281,Homestay Causeway Bay/Wan Chai 3 min MTR/Metro,1593153,Alison & Steve,Wan Chai,22.27816796,114.1839588,Private room,462,28,158,8/11/2018,2.57,1,154
18029662,❤ Lovely Studio ❤ TST in Popular Area,124008789,Summer,Yau Tsim Mong,22.3007654,114.1743041,Entire home/apt,478,1,123,8/11/2018,6.33,1,144
11831457,Cozy room 20m to Airport/Asia Expo,63035521,Sally & David,Islands,22.29426653,113.950523,Private room,580,1,99,8/11/2018,3.14,1,72
6855185,"SUNNY SOHO APT, OPEN KITCHEN, HIGH CEILINGS.",29826466,Agnes,Central & Western,22.28156519,114.1528794,Entire home/apt,689,2,89,8/11/2018,2.43,1,311
5110764,"Modern room @ Sai Ying Pun, HK island",8885305,Daniel,Central & Western,22.28577563,114.1424394,Private room,384,1,87,8/11/2018,1.94,1,319
4584329,BEST LOCATION - GREAT STUDIO - GREAT DEAL,23763754,Philippe,Central & Western,22.28437638,114.1479013,Entire home/apt,697,2,74,8/11/2018,1.54,1,314
20983655,3BR family home with piano near Disney and Airport,151022606,Shipra,Islands,22.30198429,114.0118043,Entire home/apt,799,1,67,8/11/2018,5.18,1,283
23529931,Superb Apartment in Tsim Sha Tsui,66563505,Aaron,Yau Tsim Mong,22.29805237,114.1752334,Entire home/apt,603,1,66,8/11/2018,7.76,1,128
10813539,The Nest,24401387,Homan,Wan Chai,22.28076777,114.1821228,Entire home/apt,1582,3,65,8/11/2018,1.93,1,137
23529728,Superb Studio in Tsim Sha Tsui,66419723,Carter,Yau Tsim Mong,22.30033228,114.1737979,Entire home/apt,548,1,63,8/11/2018,7.41,1,132
16127054,"Bright,open flat,great location near Central &Soho",41108510,Brad,Central & Western,22.28699999,114.1483443,Entire home/apt,447,4,61,8/11/2018,2.6,1,96
